#Organism Name,Organism Groups,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,Host,CDS,Neighbors,Release Date,GenBank FTP,RefSeq FTP,Replicons
"Human picobirnavirus","Viruses;Other;Picobirnaviridae","","","GCA_000859285.1","Complete",0.00427,46.0452," 1:NC_007026.1/AB186897.1;  2:NC_007027.1/AB186898.1","human",3,,"2005-05-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/859/285/GCA_000859285.1_ViralMultiSegProj15248","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/859/285/GCF_000859285.1_ViralMultiSegProj15248"," 1:NC_007026.1/AB186897.1;  2:NC_007027.1/AB186898.1"
"Salivirus NG-J1","Viruses;Other;Picornaviridae","","","GCA_000886535.1","Complete",0.007982,56.7," Unknown:NC_012957.1/GQ179640.3","human,vertebrates",1,10,"2009-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/535/GCA_000886535.1_ViralProj39349","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/535/GCF_000886535.1_ViralProj39349"," Unknown:NC_012957.1/GQ179640.3"
"Human papillomavirus 116","Viruses;Other;Papillomaviridae","","","GCA_000884175.1","Complete",0.007184,38.5,"NC_013035.1/FJ804072.1","human",7,4,"2009-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/884/175/GCA_000884175.1_ViralProj39691","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/175/GCF_000884175.1_ViralProj39691","NC_013035.1/FJ804072.1"
"Astrovirus VA1","Viruses;Other;Astroviridae","","","GCA_000885815.1","Complete",0.006586,41.9," Unknown:NC_013060.1/FJ973620.1","human,vertebrates",3,4,"2009-08-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/885/815/GCA_000885815.1_ViralProj39811","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/885/815/GCF_000885815.1_ViralProj39811"," Unknown:NC_013060.1/FJ973620.1"
"HMO Astrovirus A","Viruses;Other;Astroviridae","","","GCA_000884395.1","Complete",0.006534,43.5," Unknown:NC_013443.1/GQ415660.1","human",3,1,"2009-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/884/395/GCA_000884395.1_ViralProj41413","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/884/395/GCF_000884395.1_ViralProj41413"," Unknown:NC_013443.1/GQ415660.1"
"Pseudocowpox virus","Viruses;Other;Poxviridae","","","GCA_000886295.1","Complete",0.145289,65," Unknown:NC_013804.1/GQ329670.1","human,vertebrates",134,1,"2010-02-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/886/295/GCA_000886295.1_ViralProj45973","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/886/295/GCF_000886295.1_ViralProj45973"," Unknown:NC_013804.1/GQ329670.1"
"Torque teno mini virus 8","Viruses;Other;Anelloviridae","","","GCA_000887215.1","Complete",0.00291,37.8," Unknown:NC_014068.1/AF291073.1","human",2,,"2001-10-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/215/GCA_000887215.1_ViralProj48135","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/215/GCF_000887215.1_ViralProj48135"," Unknown:NC_014068.1/AF291073.1"
"Torque teno virus 27","Viruses;Other;Anelloviridae","","","GCA_000888215.1","Complete",0.003729,53.4," Unknown:NC_014074.1/AB064595.1","human",4,,"2001-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/888/215/GCA_000888215.1_ViralProj48147","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/888/215/GCF_000888215.1_ViralProj48147"," Unknown:NC_014074.1/AB064595.1"
"Torque teno virus 10","Viruses;Other;Anelloviridae","","","GCA_000887255.1","Complete",0.00377,51.2," Unknown:NC_014076.1/AB064607.1","human",4,1,"2001-12-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/255/GCA_000887255.1_ViralProj48151","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/255/GCF_000887255.1_ViralProj48151"," Unknown:NC_014076.1/AB064607.1"
"Torque teno virus 7","Viruses;Other;Anelloviridae","","","GCA_000887275.1","Complete",0.003736,48.4," Unknown:NC_014080.1/AF261761.1","human",3,2,"2000-07-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/887/275/GCA_000887275.1_ViralProj48159","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/887/275/GCF_000887275.1_ViralProj48159"," Unknown:NC_014080.1/AF261761.1"
